inquiry_type,project_type,service_needed,budget_range,project_timeline,city,preferred_contact,message_length,lead_score
Technical Support,Residential,Professional Painting,"Below ₹10,000",1-4 Weeks,Coimbatore,WhatsApp,246,0
General Feedback,Commercial,Maintenance Program,"₹2,00,000 - ₹10,00,000",1-3 Months,Coimbatore,Phone,343,1
General Feedback,Industrial,Interior Solutions,"₹50,000 - ₹2,00,000",1-4 Weeks,Mumbai,Phone,288,0
Product Inquiry,Residential,Color Consultation,"₹10,000 - ₹50,000",1-4 Weeks,Chennai,Email,108,0
General Feedback,Industrial,Interior Solutions,"Below ₹10,000",Urgent (Within 1 Week),Mumbai,Phone,349,0
Dealership Inquiry,Commercial,Maintenance Program,"Below ₹10,000",Urgent (Within 1 Week),Kochi,Email,306,1
Product Inquiry,Commercial,Maintenance Program,"₹10,000 - ₹50,000",1-4 Weeks,Trivandrum,WhatsApp,317,0
Product Inquiry,Commercial,Exterior Solutions,"₹2,00,000 - ₹10,00,000",3+ Months,Pune,Phone,100,1
General Feedback,Industrial,Professional Painting,"Below ₹10,000",Urgent (Within 1 Week),Kochi,Phone,195,0
Product Inquiry,Industrial,Special Effects & Textures,"₹50,000 - ₹2,00,000",1-4 Weeks,Kochi,WhatsApp,96,0
Dealership Inquiry,Residential,Commercial Services,"₹50,000 - ₹2,00,000",1-4 Weeks,Chennai,Phone,327,0
Product Inquiry,Commercial,Interior Solutions,"₹50,000 - ₹2,00,000",1-4 Weeks,Chennai,Email,220,0
Dealership Inquiry,Residential,Maintenance Program,"Below ₹10,000",1-4 Weeks,Pune,Phone,338,0
Product Inquiry,Residential,Special Effects & Textures,"₹10,000 - ₹50,000",1-4 Weeks,Delhi,Email,219,0
Product Inquiry,Commercial,Color Consultation,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Pune,Email,73,0
Product Inquiry,Industrial,Commercial Services,"₹10,000 - ₹50,000",1-4 Weeks,Coimbatore,Phone,256,0
Product Inquiry,Commercial,Commercial Services,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Coimbatore,Phone,202,0
Dealership Inquiry,Commercial,Exterior Solutions,"₹2,00,000 - ₹10,00,000",Urgent (Within 1 Week),Trivandrum,WhatsApp,145,2
Technical Support,Residential,Exterior Solutions,"₹50,000 - ₹2,00,000",1-4 Weeks,Bengaluru,WhatsApp,263,0
Product Inquiry,Commercial,Maintenance Program,"₹10,000 - ₹50,000",1-4 Weeks,Delhi,WhatsApp,333,0
Bulk Order Inquiry,Industrial,Interior Solutions,"Below ₹10,000",1-3 Months,Hyderabad,Email,88,0
Dealership Inquiry,Residential,Special Effects & Textures,"₹50,000 - ₹2,00,000",1-4 Weeks,Hyderabad,WhatsApp,217,0
Bulk Order Inquiry,Commercial,Exterior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Hyderabad,WhatsApp,142,0
Dealership Inquiry,Industrial,Special Effects & Textures,"₹50,000 - ₹2,00,000",1-4 Weeks,Trivandrum,Email,49,0
Dealership Inquiry,Commercial,Special Effects & Textures,"₹10,000 - ₹50,000",3+ Months,Trivandrum,WhatsApp,279,0
Bulk Order Inquiry,Industrial,Professional Painting,"Above ₹10,00,000",3+ Months,Pune,Phone,70,1
Product Inquiry,Commercial,Exterior Solutions,"Below ₹10,000",1-3 Months,Pune,Email,193,0
Dealership Inquiry,Industrial,Professional Painting,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Hyderabad,WhatsApp,186,1
Dealership Inquiry,Residential,Professional Painting,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Hyderabad,Phone,138,1
General Feedback,Residential,Professional Painting,"Above ₹10,00,000",1-4 Weeks,Hyderabad,Email,58,1
Product Inquiry,Residential,Special Effects & Textures,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Chennai,WhatsApp,321,1
General Feedback,Commercial,Commercial Services,"Below ₹10,000",3+ Months,Hyderabad,Email,82,0
Other,Commercial,Maintenance Program,"₹10,000 - ₹50,000",1-4 Weeks,Mumbai,Email,86,0
Product Inquiry,Industrial,Maintenance Program,"₹50,000 - ₹2,00,000",3+ Months,Madurai,WhatsApp,307,0
Product Inquiry,Commercial,Interior Solutions,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Madurai,WhatsApp,102,1
Technical Support,Residential,Professional Painting,"₹50,000 - ₹2,00,000",1-4 Weeks,Bengaluru,Email,256,0
Product Inquiry,Residential,Exterior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Trivandrum,Phone,341,0
Dealership Inquiry,Industrial,Professional Painting,"Below ₹10,000",1-4 Weeks,Hyderabad,Email,283,0
Technical Support,Industrial,Commercial Services,"₹50,000 - ₹2,00,000",1-3 Months,Chennai,WhatsApp,50,0
Dealership Inquiry,Commercial,Commercial Services,"Above ₹10,00,000",1-3 Months,Coimbatore,Phone,162,1
Dealership Inquiry,Industrial,Maintenance Program,"₹50,000 - ₹2,00,000",3+ Months,Delhi,Phone,102,0
Technical Support,Commercial,Color Consultation,"Above ₹10,00,000",1-4 Weeks,Delhi,Phone,170,1
Product Inquiry,Industrial,Exterior Solutions,"₹2,00,000 - ₹10,00,000",3+ Months,Chennai,Phone,202,1
Bulk Order Inquiry,Industrial,Exterior Solutions,"₹2,00,000 - ₹10,00,000",3+ Months,Pune,WhatsApp,281,1
General Feedback,Industrial,Interior Solutions,"Above ₹10,00,000",Urgent (Within 1 Week),Trivandrum,Email,122,1
Technical Support,Commercial,Special Effects & Textures,"₹50,000 - ₹2,00,000",1-3 Months,Chennai,Email,207,0
Dealership Inquiry,Residential,Exterior Solutions,"Below ₹10,000",1-4 Weeks,Delhi,WhatsApp,109,0
Technical Support,Industrial,Special Effects & Textures,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Mumbai,WhatsApp,167,0
Dealership Inquiry,Industrial,Professional Painting,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Hyderabad,Email,284,1
Dealership Inquiry,Residential,Exterior Solutions,"₹2,00,000 - ₹10,00,000",1-3 Months,Pune,Email,141,1
Technical Support,Residential,Color Consultation,"₹10,000 - ₹50,000",1-3 Months,Chennai,WhatsApp,332,1
Dealership Inquiry,Residential,Interior Solutions,"₹50,000 - ₹2,00,000",3+ Months,Mumbai,Email,276,0
General Feedback,Commercial,Professional Painting,"₹10,000 - ₹50,000",1-4 Weeks,Madurai,Email,85,0
Product Inquiry,Industrial,Exterior Solutions,"₹50,000 - ₹2,00,000",1-3 Months,Bengaluru,Email,272,0
Bulk Order Inquiry,Commercial,Special Effects & Textures,"Below ₹10,000",3+ Months,Kochi,Phone,176,0
Product Inquiry,Industrial,Special Effects & Textures,"₹2,00,000 - ₹10,00,000",1-3 Months,Delhi,Phone,184,1
Product Inquiry,Residential,Commercial Services,"₹2,00,000 - ₹10,00,000",Urgent (Within 1 Week),Kochi,Email,174,1
Technical Support,Commercial,Professional Painting,"₹50,000 - ₹2,00,000",1-4 Weeks,Pune,WhatsApp,45,0
Technical Support,Industrial,Commercial Services,"₹10,000 - ₹50,000",1-4 Weeks,Hyderabad,Email,256,0
Product Inquiry,Commercial,Interior Solutions,"Below ₹10,000",1-4 Weeks,Madurai,WhatsApp,160,0
Other,Residential,Interior Solutions,"₹50,000 - ₹2,00,000",1-3 Months,Trivandrum,WhatsApp,63,0
Technical Support,Industrial,Color Consultation,"Above ₹10,00,000",1-3 Months,Madurai,Email,107,1
Product Inquiry,Residential,Color Consultation,"₹50,000 - ₹2,00,000",3+ Months,Pune,WhatsApp,279,0
Dealership Inquiry,Residential,Exterior Solutions,"Below ₹10,000",Urgent (Within 1 Week),Hyderabad,WhatsApp,62,1
Technical Support,Industrial,Maintenance Program,"₹10,000 - ₹50,000",3+ Months,Hyderabad,WhatsApp,174,0
Technical Support,Residential,Commercial Services,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Kochi,Email,291,1
Product Inquiry,Commercial,Professional Painting,"Below ₹10,000",Urgent (Within 1 Week),Kochi,Phone,280,0
Product Inquiry,Commercial,Special Effects & Textures,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Trivandrum,Phone,266,1
General Feedback,Residential,Interior Solutions,"Below ₹10,000",1-3 Months,Bengaluru,Email,115,0
Bulk Order Inquiry,Commercial,Commercial Services,"Below ₹10,000",Urgent (Within 1 Week),Madurai,Email,300,1
Dealership Inquiry,Residential,Exterior Solutions,"Above ₹10,00,000",1-4 Weeks,Bengaluru,Email,332,1
Bulk Order Inquiry,Commercial,Special Effects & Textures,"₹50,000 - ₹2,00,000",3+ Months,Bengaluru,Phone,53,0
Technical Support,Residential,Color Consultation,"Above ₹10,00,000",Urgent (Within 1 Week),Bengaluru,Phone,205,1
Bulk Order Inquiry,Industrial,Special Effects & Textures,"₹50,000 - ₹2,00,000",1-4 Weeks,Chennai,Phone,177,0
Other,Industrial,Special Effects & Textures,"₹50,000 - ₹2,00,000",3+ Months,Madurai,Email,206,0
Product Inquiry,Residential,Special Effects & Textures,"Below ₹10,000",1-3 Months,Bengaluru,WhatsApp,205,0
Other,Residential,Maintenance Program,"₹10,000 - ₹50,000",1-4 Weeks,Coimbatore,Email,131,0
Product Inquiry,Commercial,Special Effects & Textures,"₹10,000 - ₹50,000",1-4 Weeks,Mumbai,Email,246,0
Product Inquiry,Industrial,Commercial Services,"₹2,00,000 - ₹10,00,000",1-3 Months,Mumbai,Phone,198,1
Dealership Inquiry,Commercial,Exterior Solutions,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Kochi,Phone,290,1
Dealership Inquiry,Industrial,Professional Painting,"₹10,000 - ₹50,000",1-3 Months,Coimbatore,WhatsApp,228,0
General Feedback,Industrial,Professional Painting,"Below ₹10,000",1-4 Weeks,Mumbai,Phone,277,0
Dealership Inquiry,Commercial,Color Consultation,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Kochi,Phone,279,1
Product Inquiry,Industrial,Exterior Solutions,"Below ₹10,000",3+ Months,Hyderabad,WhatsApp,167,0
Product Inquiry,Industrial,Exterior Solutions,"Below ₹10,000",Urgent (Within 1 Week),Coimbatore,Email,95,0
General Feedback,Commercial,Commercial Services,"₹50,000 - ₹2,00,000",1-3 Months,Bengaluru,WhatsApp,221,0
Product Inquiry,Commercial,Color Consultation,"₹50,000 - ₹2,00,000",1-4 Weeks,Bengaluru,Phone,133,0
Bulk Order Inquiry,Industrial,Exterior Solutions,"₹10,000 - ₹50,000",1-3 Months,Madurai,Phone,272,0
Technical Support,Residential,Color Consultation,"Above ₹10,00,000",1-3 Months,Madurai,Phone,148,1
Bulk Order Inquiry,Commercial,Color Consultation,"Below ₹10,000",1-4 Weeks,Chennai,Email,42,0
Dealership Inquiry,Industrial,Exterior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Hyderabad,WhatsApp,348,0
Bulk Order Inquiry,Commercial,Color Consultation,"₹50,000 - ₹2,00,000",1-3 Months,Mumbai,Email,242,0
Product Inquiry,Residential,Professional Painting,"Below ₹10,000",Urgent (Within 1 Week),Kochi,WhatsApp,136,0
Product Inquiry,Residential,Color Consultation,"₹10,000 - ₹50,000",1-3 Months,Hyderabad,Phone,315,0
Product Inquiry,Industrial,Special Effects & Textures,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Kochi,Phone,118,0
General Feedback,Commercial,Commercial Services,"₹2,00,000 - ₹10,00,000",1-3 Months,Coimbatore,Email,143,1
Technical Support,Commercial,Maintenance Program,"Below ₹10,000",1-3 Months,Kochi,WhatsApp,261,0
Dealership Inquiry,Commercial,Exterior Solutions,"₹50,000 - ₹2,00,000",3+ Months,Kochi,WhatsApp,58,0
Dealership Inquiry,Residential,Special Effects & Textures,"₹50,000 - ₹2,00,000",1-3 Months,Chennai,WhatsApp,289,0
Product Inquiry,Industrial,Exterior Solutions,"₹50,000 - ₹2,00,000",1-3 Months,Kochi,Email,177,0
General Feedback,Residential,Professional Painting,"Above ₹10,00,000",1-4 Weeks,Hyderabad,WhatsApp,263,1
Product Inquiry,Industrial,Special Effects & Textures,"₹10,000 - ₹50,000",1-4 Weeks,Pune,WhatsApp,152,0
Bulk Order Inquiry,Industrial,Special Effects & Textures,"₹50,000 - ₹2,00,000",1-4 Weeks,Coimbatore,Phone,190,0
Bulk Order Inquiry,Residential,Commercial Services,"₹50,000 - ₹2,00,000",1-3 Months,Delhi,Phone,281,0
Dealership Inquiry,Residential,Professional Painting,"Below ₹10,000",1-4 Weeks,Madurai,Phone,128,0
Product Inquiry,Residential,Professional Painting,"₹10,000 - ₹50,000",3+ Months,Trivandrum,Email,195,0
Other,Residential,Maintenance Program,"₹10,000 - ₹50,000",1-4 Weeks,Trivandrum,Email,121,0
Bulk Order Inquiry,Residential,Commercial Services,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Delhi,Phone,156,1
Product Inquiry,Industrial,Interior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Mumbai,WhatsApp,63,0
Bulk Order Inquiry,Commercial,Maintenance Program,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Kochi,Email,65,1
Other,Industrial,Color Consultation,"₹2,00,000 - ₹10,00,000",1-3 Months,Trivandrum,Email,92,1
Product Inquiry,Residential,Special Effects & Textures,"Below ₹10,000",1-4 Weeks,Hyderabad,WhatsApp,225,0
General Feedback,Residential,Special Effects & Textures,"₹50,000 - ₹2,00,000",1-3 Months,Pune,Phone,90,0
Bulk Order Inquiry,Residential,Professional Painting,"Below ₹10,000",1-4 Weeks,Kochi,Phone,252,0
Product Inquiry,Commercial,Special Effects & Textures,"Below ₹10,000",1-4 Weeks,Delhi,Email,252,0
Bulk Order Inquiry,Commercial,Exterior Solutions,"₹50,000 - ₹2,00,000",1-3 Months,Coimbatore,Phone,110,0
Other,Commercial,Professional Painting,"₹50,000 - ₹2,00,000",1-3 Months,Chennai,WhatsApp,55,0
Bulk Order Inquiry,Commercial,Maintenance Program,"Above ₹10,00,000",Urgent (Within 1 Week),Mumbai,Phone,201,2
Product Inquiry,Industrial,Color Consultation,"₹2,00,000 - ₹10,00,000",1-3 Months,Trivandrum,Phone,117,1
General Feedback,Industrial,Special Effects & Textures,"₹2,00,000 - ₹10,00,000",1-3 Months,Pune,Phone,195,1
Product Inquiry,Industrial,Exterior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Kochi,WhatsApp,115,0
Product Inquiry,Industrial,Interior Solutions,"₹50,000 - ₹2,00,000",1-3 Months,Coimbatore,Email,266,0
Bulk Order Inquiry,Industrial,Special Effects & Textures,"Below ₹10,000",1-4 Weeks,Mumbai,WhatsApp,239,0
Other,Commercial,Commercial Services,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Pune,WhatsApp,322,0
Product Inquiry,Commercial,Professional Painting,"Below ₹10,000",1-3 Months,Hyderabad,WhatsApp,343,0
General Feedback,Commercial,Special Effects & Textures,"₹50,000 - ₹2,00,000",1-3 Months,Trivandrum,Phone,230,0
Product Inquiry,Commercial,Commercial Services,"₹2,00,000 - ₹10,00,000",3+ Months,Chennai,Phone,269,1
Technical Support,Industrial,Special Effects & Textures,"₹10,000 - ₹50,000",1-3 Months,Trivandrum,WhatsApp,337,0
Product Inquiry,Industrial,Professional Painting,"₹10,000 - ₹50,000",1-3 Months,Coimbatore,WhatsApp,333,0
Bulk Order Inquiry,Commercial,Exterior Solutions,"Below ₹10,000",1-4 Weeks,Bengaluru,Email,138,0
Bulk Order Inquiry,Commercial,Professional Painting,"₹2,00,000 - ₹10,00,000",Urgent (Within 1 Week),Kochi,Email,71,2
General Feedback,Industrial,Commercial Services,"₹10,000 - ₹50,000",1-4 Weeks,Coimbatore,Phone,341,0
Dealership Inquiry,Industrial,Exterior Solutions,"₹50,000 - ₹2,00,000",3+ Months,Mumbai,Email,290,0
Dealership Inquiry,Industrial,Color Consultation,"₹10,000 - ₹50,000",1-4 Weeks,Delhi,Phone,302,0
General Feedback,Residential,Commercial Services,"₹50,000 - ₹2,00,000",3+ Months,Coimbatore,Email,229,0
Product Inquiry,Residential,Interior Solutions,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Hyderabad,Phone,118,0
Technical Support,Industrial,Exterior Solutions,"₹10,000 - ₹50,000",1-3 Months,Chennai,Phone,112,0
Bulk Order Inquiry,Residential,Color Consultation,"₹10,000 - ₹50,000",1-3 Months,Trivandrum,Phone,290,0
Product Inquiry,Industrial,Exterior Solutions,"Below ₹10,000",1-4 Weeks,Pune,Phone,198,0
General Feedback,Industrial,Special Effects & Textures,"₹50,000 - ₹2,00,000",1-3 Months,Kochi,Phone,110,0
Dealership Inquiry,Industrial,Special Effects & Textures,"Below ₹10,000",1-3 Months,Madurai,Phone,85,0
Technical Support,Industrial,Exterior Solutions,"Above ₹10,00,000",1-4 Weeks,Hyderabad,WhatsApp,63,1
Product Inquiry,Industrial,Special Effects & Textures,"Below ₹10,000",Urgent (Within 1 Week),Bengaluru,WhatsApp,198,0
Dealership Inquiry,Residential,Commercial Services,"Below ₹10,000",1-3 Months,Trivandrum,Email,335,0
Bulk Order Inquiry,Residential,Color Consultation,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Hyderabad,Email,312,1
Product Inquiry,Residential,Maintenance Program,"₹50,000 - ₹2,00,000",3+ Months,Trivandrum,WhatsApp,267,0
Technical Support,Commercial,Exterior Solutions,"₹50,000 - ₹2,00,000",1-4 Weeks,Mumbai,Phone,51,0
Product Inquiry,Residential,Color Consultation,"₹50,000 - ₹2,00,000",1-4 Weeks,Trivandrum,Email,86,0
Product Inquiry,Commercial,Exterior Solutions,"Below ₹10,000",1-3 Months,Mumbai,Email,118,0
Dealership Inquiry,Commercial,Exterior Solutions,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Bengaluru,Phone,69,1
Product Inquiry,Residential,Professional Painting,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Delhi,WhatsApp,101,1
Dealership Inquiry,Residential,Interior Solutions,"₹10,000 - ₹50,000",1-3 Months,Chennai,Phone,237,0
General Feedback,Industrial,Professional Painting,"₹10,000 - ₹50,000",1-4 Weeks,Chennai,Phone,248,0
Dealership Inquiry,Industrial,Maintenance Program,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Mumbai,Phone,324,1
Dealership Inquiry,Residential,Maintenance Program,"₹10,000 - ₹50,000",1-3 Months,Mumbai,Phone,296,0
Dealership Inquiry,Industrial,Exterior Solutions,"Below ₹10,000",1-4 Weeks,Chennai,Email,256,0
Bulk Order Inquiry,Residential,Color Consultation,"Above ₹10,00,000",1-3 Months,Kochi,Phone,125,1
Dealership Inquiry,Industrial,Professional Painting,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Madurai,WhatsApp,219,1
Product Inquiry,Commercial,Color Consultation,"Below ₹10,000",1-4 Weeks,Coimbatore,WhatsApp,75,0
Product Inquiry,Commercial,Professional Painting,"Below ₹10,000",1-3 Months,Madurai,WhatsApp,183,0
Other,Industrial,Interior Solutions,"₹10,000 - ₹50,000",1-3 Months,Kochi,Phone,215,0
Product Inquiry,Industrial,Interior Solutions,"Above ₹10,00,000",1-4 Weeks,Chennai,WhatsApp,275,1
Product Inquiry,Residential,Special Effects & Textures,"Above ₹10,00,000",1-3 Months,Mumbai,Phone,42,1
Dealership Inquiry,Industrial,Color Consultation,"₹50,000 - ₹2,00,000",1-4 Weeks,Bengaluru,WhatsApp,241,0
Product Inquiry,Commercial,Maintenance Program,"₹2,00,000 - ₹10,00,000",1-3 Months,Coimbatore,WhatsApp,103,1
Technical Support,Residential,Exterior Solutions,"Below ₹10,000",1-3 Months,Pune,Email,44,0
General Feedback,Industrial,Special Effects & Textures,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Pune,Email,183,0
Product Inquiry,Residential,Exterior Solutions,"₹50,000 - ₹2,00,000",1-4 Weeks,Pune,Email,153,0
Product Inquiry,Residential,Professional Painting,"Above ₹10,00,000",1-3 Months,Coimbatore,Email,147,1
Bulk Order Inquiry,Residential,Special Effects & Textures,"₹50,000 - ₹2,00,000",1-4 Weeks,Madurai,WhatsApp,322,0
Dealership Inquiry,Industrial,Color Consultation,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Mumbai,Phone,105,1
Other,Residential,Maintenance Program,"₹2,00,000 - ₹10,00,000",3+ Months,Chennai,WhatsApp,180,1
Dealership Inquiry,Residential,Exterior Solutions,"₹50,000 - ₹2,00,000",1-3 Months,Chennai,Phone,272,0
General Feedback,Commercial,Exterior Solutions,"Above ₹10,00,000",1-4 Weeks,Pune,WhatsApp,305,1
Bulk Order Inquiry,Commercial,Commercial Services,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Kochi,Phone,182,1
Product Inquiry,Residential,Special Effects & Textures,"Below ₹10,000",Urgent (Within 1 Week),Delhi,WhatsApp,332,0
General Feedback,Commercial,Interior Solutions,"Below ₹10,000",1-4 Weeks,Bengaluru,WhatsApp,124,0
Dealership Inquiry,Industrial,Maintenance Program,"Below ₹10,000",1-4 Weeks,Pune,Phone,52,0
Product Inquiry,Commercial,Commercial Services,"₹10,000 - ₹50,000",3+ Months,Delhi,Email,67,0
Bulk Order Inquiry,Industrial,Color Consultation,"₹50,000 - ₹2,00,000",1-3 Months,Bengaluru,Email,268,0
Other,Residential,Color Consultation,"₹10,000 - ₹50,000",3+ Months,Kochi,Email,73,0
Technical Support,Industrial,Color Consultation,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Hyderabad,Phone,68,0
General Feedback,Industrial,Commercial Services,"₹50,000 - ₹2,00,000",1-4 Weeks,Chennai,Phone,346,0
Technical Support,Commercial,Special Effects & Textures,"₹2,00,000 - ₹10,00,000",3+ Months,Chennai,Phone,91,1
Dealership Inquiry,Industrial,Special Effects & Textures,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Bengaluru,WhatsApp,46,1
Bulk Order Inquiry,Commercial,Interior Solutions,"Below ₹10,000",1-3 Months,Coimbatore,Phone,300,0
Bulk Order Inquiry,Residential,Professional Painting,"₹10,000 - ₹50,000",1-4 Weeks,Hyderabad,WhatsApp,62,0
General Feedback,Industrial,Commercial Services,"Above ₹10,00,000",1-3 Months,Mumbai,Email,199,1
General Feedback,Industrial,Commercial Services,"₹50,000 - ₹2,00,000",1-4 Weeks,Mumbai,Email,44,0
Product Inquiry,Commercial,Interior Solutions,"₹2,00,000 - ₹10,00,000",1-3 Months,Delhi,Email,67,1
Dealership Inquiry,Industrial,Exterior Solutions,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Kochi,WhatsApp,136,1
Dealership Inquiry,Industrial,Interior Solutions,"₹2,00,000 - ₹10,00,000",1-3 Months,Coimbatore,Phone,211,1
Product Inquiry,Commercial,Professional Painting,"₹10,000 - ₹50,000",1-3 Months,Chennai,WhatsApp,61,0
Product Inquiry,Commercial,Special Effects & Textures,"₹10,000 - ₹50,000",1-3 Months,Pune,WhatsApp,162,0
Technical Support,Commercial,Color Consultation,"₹10,000 - ₹50,000",1-3 Months,Bengaluru,Phone,43,0
Product Inquiry,Industrial,Commercial Services,"Below ₹10,000",1-4 Weeks,Pune,Email,139,0
Other,Commercial,Special Effects & Textures,"Below ₹10,000",1-4 Weeks,Mumbai,Phone,152,0
Bulk Order Inquiry,Commercial,Color Consultation,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Chennai,WhatsApp,130,1
Product Inquiry,Residential,Interior Solutions,"₹50,000 - ₹2,00,000",3+ Months,Kochi,Email,213,0
Technical Support,Industrial,Exterior Solutions,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Bengaluru,Email,309,0
Product Inquiry,Industrial,Exterior Solutions,"Above ₹10,00,000",1-3 Months,Pune,Phone,138,1
Dealership Inquiry,Industrial,Commercial Services,"Above ₹10,00,000",1-4 Weeks,Delhi,WhatsApp,63,1
Product Inquiry,Residential,Maintenance Program,"Below ₹10,000",1-4 Weeks,Trivandrum,WhatsApp,183,0
Bulk Order Inquiry,Industrial,Commercial Services,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Bengaluru,Email,280,1
Dealership Inquiry,Commercial,Exterior Solutions,"₹2,00,000 - ₹10,00,000",1-3 Months,Trivandrum,Phone,300,1
Product Inquiry,Industrial,Exterior Solutions,"₹50,000 - ₹2,00,000",1-4 Weeks,Kochi,Phone,287,0
Dealership Inquiry,Residential,Professional Painting,"₹50,000 - ₹2,00,000",1-3 Months,Delhi,Phone,58,0
Bulk Order Inquiry,Industrial,Professional Painting,"₹10,000 - ₹50,000",1-4 Weeks,Pune,Phone,233,0
Dealership Inquiry,Industrial,Interior Solutions,"Below ₹10,000",Urgent (Within 1 Week),Delhi,WhatsApp,267,1
Product Inquiry,Commercial,Exterior Solutions,"₹50,000 - ₹2,00,000",1-4 Weeks,Coimbatore,Phone,270,0
Bulk Order Inquiry,Commercial,Professional Painting,"₹10,000 - ₹50,000",1-4 Weeks,Hyderabad,WhatsApp,131,0
Product Inquiry,Industrial,Commercial Services,"Above ₹10,00,000",1-4 Weeks,Bengaluru,Phone,296,1
Other,Industrial,Professional Painting,"Below ₹10,000",Urgent (Within 1 Week),Pune,Email,59,0
Dealership Inquiry,Residential,Special Effects & Textures,"₹10,000 - ₹50,000",1-3 Months,Madurai,Email,180,0
Other,Residential,Maintenance Program,"₹2,00,000 - ₹10,00,000",1-3 Months,Hyderabad,Phone,173,1
Bulk Order Inquiry,Industrial,Maintenance Program,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Chennai,Phone,247,1
Dealership Inquiry,Residential,Professional Painting,"Above ₹10,00,000",3+ Months,Delhi,Phone,243,1
Product Inquiry,Industrial,Maintenance Program,"₹50,000 - ₹2,00,000",1-3 Months,Kochi,Phone,279,0
Bulk Order Inquiry,Residential,Exterior Solutions,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Kochi,WhatsApp,253,1
Product Inquiry,Industrial,Color Consultation,"Below ₹10,000",3+ Months,Kochi,WhatsApp,196,0
Bulk Order Inquiry,Industrial,Commercial Services,"₹10,000 - ₹50,000",1-4 Weeks,Hyderabad,Phone,246,0
Dealership Inquiry,Residential,Interior Solutions,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Madurai,WhatsApp,111,1
Bulk Order Inquiry,Commercial,Professional Painting,"Above ₹10,00,000",1-3 Months,Coimbatore,Email,240,1
Dealership Inquiry,Commercial,Special Effects & Textures,"Below ₹10,000",Urgent (Within 1 Week),Hyderabad,Email,331,1
Product Inquiry,Commercial,Color Consultation,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Mumbai,Email,348,0
Product Inquiry,Commercial,Special Effects & Textures,"Above ₹10,00,000",1-4 Weeks,Trivandrum,Email,159,1
General Feedback,Commercial,Exterior Solutions,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Mumbai,Email,207,0
Product Inquiry,Residential,Professional Painting,"₹10,000 - ₹50,000",1-3 Months,Delhi,Phone,239,0
General Feedback,Industrial,Interior Solutions,"₹50,000 - ₹2,00,000",1-4 Weeks,Madurai,Email,349,0
Dealership Inquiry,Residential,Exterior Solutions,"₹50,000 - ₹2,00,000",1-4 Weeks,Bengaluru,Phone,43,0
Dealership Inquiry,Commercial,Exterior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Kochi,WhatsApp,331,0
Product Inquiry,Commercial,Special Effects & Textures,"Below ₹10,000",1-3 Months,Hyderabad,Phone,273,0
Dealership Inquiry,Residential,Commercial Services,"₹2,00,000 - ₹10,00,000",Urgent (Within 1 Week),Coimbatore,Phone,167,2
Technical Support,Commercial,Special Effects & Textures,"₹50,000 - ₹2,00,000",1-3 Months,Chennai,Email,88,0
Bulk Order Inquiry,Commercial,Special Effects & Textures,"Below ₹10,000",3+ Months,Bengaluru,WhatsApp,315,0
Bulk Order Inquiry,Industrial,Color Consultation,"Above ₹10,00,000",3+ Months,Pune,Email,250,1
